Tweets,"Labels (IND, GRP, OTH) (0,1,2)"
behead those who worships islam,1
death to all separatists and muslims,1
i agre my brofuck the islamgreetings from serbiawhan you heave a problem call serbsthey are peniciline for desise like islamthey are specialist for theatkill all muslimsfreedom the world forever,1
serbia suportetd you my brokill muslim scumskill them alland permanently,1
imagine if a christian commits a crime so i wish all christians to die,1
muslims should die,1
hi frend death to muslims,1
death to islam<fuck of turkys you are not europians so fack offand albanians too,1
fuck you motherfuckerwee weell kill you wen you come to europewee hate you espesaly serbschristanity foreverdo not come in europe,1
first my language is the best in the world secound you are boring so fuck you and shiptaria not a siliptriadeath to all muslims,1
death to islam freedom to western europe,1
just sterilize all muslims so they cant procreate,2
all of you need to fuck off and kill each other,1
we shouldve bombed that ship,1
this new ottoman empire youre talking about wont come soon if you turks even dare to attack israel this will be your end,1
if this happends we need to start a crusade again and bomb those desert dogs back to the shithole they crawled out of,1
blacks and shitskins need to be burned,1
we will kill you pigs all,1
kill all sandniggers and let satan do as he will to them,1
start buying guns and ammo your gonna need it in a couple years,1
hitler did one big mistake he killed jewish people but he should killed muslims,1
kill muslims heil hitler,1
all west europa will be islamist but eastern europa will rise again and conquer your country in big holy war,1
you are idiot put a bomb in your ass bitch,0
i never kill sombody but if i must kill sombody i will kill the turkys,1
it needs to be publicly burned in parliament to send a clear message to the fascist fundamentalist fuckers,0
burn in hell muslim fuckers,1
turkey must die,1
we can easily nuke mecca and there is nothing you could do about it,1
after that we will have all we need to nuke mecca and destroy islam,1
i will be so happy when mecca is destroyed forever and islam dies,1
shoot the belgians becos they are the main responsable country in europe who brought the muslamisation in europe,1
thats why we will kill all muslims we wont give up our freedom,1
so how can we kill them,1
but we will crush you just like we did to russia in chechnya,1
death to islam,1
secular nations and their evils deserve to die they are too stupid to know how to survive anyhow,1
the times of brave charles martel and valiant prince eugene have returned indeed and it is time for europe must remember her warlike virtues and strength of yore so that she may embrace the sword once more to confront her old mortal foe the orient the iniquitous den of the vile camel merchant cult and its foul minions that fatal screechowl to europe which nothing sung but death to her and hers,1
kill islam now,1
illyrians will kill you arabwanabe,1
death to islam,1
commenter and qall you fucing dirty arabs and and sand niggers and muslims dogshit we dont want you fuck off and die scum sucking subhumans before we gass you all and yes you are a fucking pedos all of you becasue your imans make you fuck children at the mosques,1
the heart of europe is empty and therefore europe must dieshame on you,2
just racist i hope you will die u son of a bitch,0
fuck eurabiadeath to islam,1
if muslims want to attack dream on we are not stupid killerswhy not kill the dick cheney or bush or allan green or the zionist israeli pigs,1
all hindu,2
yes bomb all hindu is a start,1
ship these intolerant hateful bastards back to their third world shit holes destroy all mosques kick these fuckers out,1
fuck u muslims when it comes into the day we fight i will brutaly kill u all wit my bare hands rampo style bitch this shit is fucken disgusting turn dat shit off,1
kill them where ever u find them,1
kill alll muslims in europe,1
you better shoot yourself,0
lol id love to see muslims attack ireland,1
muslisms started the war in with your yihad so now do not complain we killed some,1
and if the modernism of culture is counted on how much damage we can produce to each other and to nature i do hope us whites die way faster in extinction than i have just predicted,1
but i guess since some religious people bully some others we should exterminate the whole population right,1
well lets exterminate everyone of them and either kill or kick out every swedish immigrants in our countries,1
so now we have to stop this swedish plague before it destroys us all so we better kill everyone now who are swedish and gay,1
you would also be beaten up by our axes,1
well lets exterminate everyone of them and either kill or kick out every swedish immigrants in our countries,1
lets kill all muslims fucks and make them become christians,1
i have done that and i can tell you i have beaten muslims with my swiss friends here its just clear that muslims are stupid all boys of my class hates them,1
i say fuck iraq lets invade europe with the permition of the european people the ral europeans not the raghead immigrants fuck and lets kill each and every one of them leave no one alive exterminate muslims,1
someone should kill that person,0
turks are exactly the same as arabics and will always be they are spreading the virus just do us a favour and kill urselfs maybe make bloods and crips in turkey and finish urselfs off,1
support israel let them nuke all gipsy,1
we need to deport all the muslims from europe and close the borders,1
eu must be a real union and kill those fuckin arab and turkish gipsy people,1
before they leave first we nuke them a few times,1
if things really getting out of control with those muslims we nuke their countries and when they leave we stop doing that,1
lets start to ethnic cleaning from european land,1
we should go back to the catholic way of burning scientists random women books and giving money to save new born babies from hell,1
come and kill him,1
thats why we need to support israel to kill those fucking allah loosers,1
go fucking kill yourself,0
europe fight against islam stop being politically correct and mass deport these desert assholes,1
death to all xtians,1
tear down the mosques and send them back to their barbarian countries,1
we should turn imgrants strait back to they countries or shot them on our borders,1
yeh we will beheading them in holland sieg heil,1
indeed long live the two fuck u capitalist colonial imperialist pigs burn in hell,1
korean=alla=kill all non alla believers,1
kill all non alla believers,1
the fact that you are an aryan and was the main problem of world war because of you million jews and more million handicaped homosexual retarded where killed raped and burned,1
well we must kill the moslems,1
we have nukes and u guys have swords,1
death to all muslims,1
lets kick out the ugly non european scuminvaders,1
kill millions of lives so white power will remain dominante forever,1
id fight die with europe if it was a war to stop islam,1
deport them before its to late,2
lets kill all the jews and israelis la la la,1
after that lets kill the crusaders and take europe,1
we nuclear bomb the center of muslim religion and culture,1
the false prophet will burn in a lake of fire,1
death to all smelly serbian bastards,1
you should join taliban and come to iraq and see how strong you areyou a fag retardso shut the fuck upive been to iraq twicewe kill you by the truck loadsyou are cowards,1
i do know a couple that id have no problem dropping a bomb on,1
i dont need any political power when the race war is waged all i will need is my and my killer instinct,1
shut up dick face i hope you and your parents die in a suicide bombing for your nazislam also i wipe my ass with the turban of muhammed,1
time to declare to cleanse europe from islamic filth,1
deport them all then nuke their ass take the gas,1
if kosovo will be independece the serbs should bomb and nuke them,1
we will just send few atomic bombs on right places,1
die muslim bastard,0
only good jew is a muslim killing jew,1
tob shebe goyyim harog even the best of the gentiles should all be killed,1
i will actually enjoy watching xtians and mudslimes killing each other,1
islam is the cancer nukes are the answer,1
they should be executed if they are found guilty of raping an individual no matter what religion they claim to follow,2
better idea deport all the male muslims and allow the females to stay,2
kill them,1
kill them all,1
option deport all criminals zionist jewish extremists to planet mars haha,1
ave to my white brothers ready for the hunt,1
europe needs to deport all muslims,2
can you please pass the coke while we all watch the europe burn in the green flames,1
kill the kaffir,1
kill yourselves you dont deserve to live,0
and people still think jews are not the master race we force you simple goyim to embrace multiculturalism and then we force you to kill the musulman,1
yeah this fucking jews the time will come we will open new concentration camp and kill any fucking jews in the world the destruction of israel will come haha enjoy your stupid life the time will come and you have nothing more to enjoy,1
fuck islam bomb mekka defile the grave of the great pedophile mohammed,1
kill it with fire,1
kill it with fire,1
the only solution now is to have a strong leader that will deport them back,2
if they acted like this in my country we would beat them so bad they would twice before walking the streets again,1
the only way to get rid of violent rioting muzzies is to kill them or deport them back to the desert mountain countries,1
death to islam,1
to afraid to riot cause you know we will shoot you in the streets,1
easy the muslim bastards know they will get shot no american will take that shit,1
i think its time to wake up and fight against this parasite like every disease we got a solution to kill it so wake up and fight against it,1
looks like a nice crowd to let a pipe bomb off in,1
im going to say it like this i live in norway its a peaceful country and all sorts of people are welcome here but if someone as much as tries to destroy my country in any way i will personally slay every god damn last man with my bare hands to defend my country,1
wakil whay dont you go kill yourself,0
if only they had let breivik out for a day to clean up this rubbish,1
give me a gun and i will fix this d,1
i would rather fight and die then to live in an islamic world,1
the solutiin is simplefree breivik and give him a permit to shoot islamists and leftists on sight,1
i have a good idea lets wipe out all religions,1
thats why we will conquere u bastards,1
you make some rednecks look intelligent look im down for promoting peaceall u gotta do is deported a few thousand back to their homeland and the rest will shut tha fuk up,2
islam will conquer you with great slaughter and war booty and bring peace,1
you know if i had the chance to kill you i would have done it with a smile,0
i would kill muslims when it becomes law,1
long live anders behring breivik,2
i wish your family gets killed and you burn in hell for all eternity then maybe you will see how people has suffered because of this man,0
i want to kill all religous people regardless of their religion,1
thats why we will conqer u bastards,1
death to islam,1
we can erase you from the face of the earth in a matter of minutes,1
god gave nuclear weapon to us not to you,1
weve got nukes and stuff and everything and youve got nothing you are insignificant you are like dust under our feet,1
we can nuke mecca during the hajj just to show you how mighty we are and how weak you are,1
set andreas breivik free you cowards,2
there should be a sky sign for anders breivik one like batman has,2
export them or execute,1
burn a quran today,1
kick out the sons of satan from europe,1
deportation is the only answer,2
daeven fucking assholes why can we not just do like another countries fight with real weapons look at shoot them all,1
we have the same problem with uneducated muslims in macedoniadeport them now or u will never s,1
muslims need to be deported en masse now,1
i hope that one day you get shot and mutilated like those poor innocent people in the yugoslav wars,1
deport them or kill them all,1
you better ask the jew gouvernment then who loves jew cock up their asses and fucking the norwegian natives out of their money to feed the unemployed junkies and immigrants who live in oslooslo should be nuked and left for waste,1
deport them all,2
they always say how much they want to die let us help them,1
take these ragheads out and shoot them in the back of the head,1
behead those who insult gullinbursti,1
just fucking shoot that shit,0
send all those aggressive bastards back to their origine countries,2
i dont wonder anymore why israel keep killing those,1
the bible says we are supposed to kill those uncircumsized,1
they all should burn in hell,1
come on cops show some backbone and shoot these mutherfuckers,1
i would of loved to see the cops beat the crap out of a few of those assholes,1
anybody doing so should be deported,2
muslims should be deported from all western lands,2
fuck these punkassholes if they ever attacked me like this i wouldve fucking killed them,1
deport them all,2
deport muslim invaders,2
deport muslim invaders,2
deport muslim invaders,2
i hate gays i hope the queers die,1
christianity says us to kill nonchristians and keep their women for themselves lol,1
kill the disbelievers wherever we find them sura,1
obama can fuckin suck my dick and die and burn in hell,0
lollemme come to your house and buldoze it to the ground so i can make a house for my family and say its my right from god and you can live in a small corner and if you rebel i will bomb you and because you are in so small place you and your kids will die and i will say that you have used children as human shields and i will winbut that wont make me rightyou will be the victim,1
go kill yourself go to hell fire with all your bullshit story to obey allah laws as described in alquran,0
and fight not with them at the inviolable place of worship until they first attack you there but if they attack you there then slay them,1
go kill yourself go to hell fire,0
dumbass homosexual liar criminal piece of shit u should go kill yourself go to hell fire with all your bulshit to meet all dead gays like monks or priest who now are living painfully in hell torment,0
people are retards that deserve to die,1
go kill yourself go to hell fire,0
kill the infidels christians and the jews,1
go kill yourself then go to hell fire with all your bullshit story about islam,0
we have the right by laws to killed unbelievers who want to killed believer,1
liar criminal piece of shit u should go kill yourself go to hell to meet brutal war criminal like racist hitler with his cross crucifix terrorist brigand in hell torment,1
muslims burn in hell fags,1
i have been on many combat tours and it is with much pleasure to shoot pedophile enemy muslim awads,1
even your helicopter fighter cant hanging on air without fuel it must fall down to hit your dumbass head allah the greatest creator of all who was created sun like billions stars above yor head with moon like billions planets above your head for allah the greatest maker of all much more easy to kill u all than to created whole univerese under skies u know,1
liar criminal piece of shit like u should go kill yourself then go to hell with all your turd weapons as additional fuel to burn u in hell fire forever ever,0
im going to have to burn another koran,1
go kill yourself then go to hell fire with all your hatred bullshit story about islam believers or muslims,0
burn them all,1
hope your kids die with with their bones broken and skull fucked,1
or else go kill yourself then go to hell with all your bullshit story about islam,0
liar criminal piece of shit go kill yourself then go to hell fire with all your bullshit story about islam,0
and i burn your home and you fucking koran that utter will be nice,1
muslims good only dead,2
liar criminal piece of shit u should go kill yourself then go to hell torment with all your bullshit story about muhammad the messenger of allah where was told by allah alone as the greatest creator of all who taught him to wrote down his true life story by the pen in alquran that were read by trillions people from all over the world since years ago up to nowdays,0
kill the creator of this video cause he just like an animals who spread the seeds of hatred,0
and all off you die,1
and all of you die,1
muslims all off you must die,1
you have to burn them with the fucking koran,1
muslims good only death,1
and burn your fucking koran,1
liar criminal piece of shit go kill yourself go to hell fire with all your bullshit as enemy of billions islam believers,1
please kill yourself,0
shoot you guys are terrrorists,1
wishing all muslims die and never exists,1
islam aint hit the towers ppl did commenter death to christians and the false shyt all yall believe in how u praise jesus when he was made by godallah mathew jesus cant b lord if the lord made him yall forget about god who made jesus an yall just praise jesus even in curch they never talk about god only jesussmh yall so retarted,1
death to allah,1
death to islamic terrorists,1
death to all religion islam is not worse than christianity nor better no religion is good,1
muslims need to be exterminated,1
death to all islamic terrorists,1
go kill yourself then go to hell fire with all your bullshit,0
liar criminal journalist piece of shit go kill yourself as enemy of islam then go to hell fire with all your bullshit,0
liar criminal slayer piece of shit go kill yourself as enemy of islam then go to hell fire,0
bandit homosexual liar criminal piece of shit go kill yourself as enemy of islam then go to hell fire,0
liar criminal piece of shit go kill your self as enemy of islam go to hell,0
go kill yourself then go to hell as enemy of islam,0
most of ur oil comes from muslim countrys so demolish them and take over the oil,1
amy i dont say this to anyone but seriously go kill yourself you stupid racist bitch,0
isreal needs to bomb them into the stone agei dont give a shit about collateral damage,1
dearh to islam and death to dictators,1
death to islam,1
obama you are discusting you swear on the bible you gonna protect the constetution when the people wake up they gonna kill you,1
die you stupid th century fossil,0
fuuuuck you go burn your sorry ass in the depth of hellhe is a threat to our country you have no heart i hope you walk outs,1
death in gasses chambers to burn your skulls turn to hot ashes,1
islam will rule europe and america one day all you white pig scum will die,1
piece of shit like u will die in suffer here on earth to go straight down there in the hell torment to meet biggest terrorist in the past,1
go kill yourself go to hell u piece of dirty shit,0
you are completely an ignorant shitislam is a peaceful religion but there are idiots in every religion that are hateful and violentsoooo once again you are an ignorant piece of trash and should kill yourself,0
so when are you americans going to shoot him,1
go kill your self,0
go kill yourself go to hell,0
yes kill and fuck yourself youre fucking retarded why would god burn us on hell if we just talked about islam,0
fuck islam may you all die and go to hell where all you fuckheads belong,1
kill yourself you somali piece of shit,0
you fucking paki cunt your whole race will die in the end,1
this fuckin bastard must be shot up his ass,0
drop a nuke on it than it will be called garbage,1
anyone who thinks their is a god or sky daddy waiting for for them in a heaven please kill yourself,0
please kill yourself and help the world,0
youre a fuckin retarded piece of shit please kill yourselfyoure full of hate,0
as an american i believe idiots like you should be killed,0
anyone that insults the prophet should be killed,0
its the vilest of lies to claim there is no reason for attacking when in fact there are very good reasons particuarly in gaza where many many times more are being killed by the oppressive war crimes of israel,1
go wank with rabbies in front of racist wall with gods label called an asshole yahweh statue until your death comes u little dumb ape,1
commenter yeah destroy and kill them all then call them the barbarians,1
ill kill you prvi fuck u nigga,0
otherwise they are subject to imprisonment or death also,1
i pray for your generation to die out,1
until then death to islam,1
death to islam dogs,1
death to islam allah is a lie,1
oh i am so scared why dont you stick that gun up your ass and blow your brains out,0
fuck that towelhead muslim kill obama and all other muslim fuckers,1
i wish there is a race war because im really into shooting racist muslimbhuddaist and greeks right now,1
you comments on other videos show that youre mostly interested in violence that is a old buck that needs to be killed if that was my dog hed get a bullet when he got back to the truck shoot that piece of shit buffalo etc,0
illuminatiwill kill him just because he is not against islam,0
you do not deserve to live on this planet in fact you should burn in hell for your stereotype ignorance stupidity and racism andor your attention whorenessif that is a word,0
mormons are radical christians who are stupid and brainwashed and they deserve to die because of theire ignorance,1
prepare to be beheaded you infidels,1
white taxpayers shouldnt have to pay an extra a year just to support them when we have muslims out there that need killing,1
il kill you,0
ill kill all of you,1
death to niggers praise allah,1
yes kill all christian and hindu people in the world,1
kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill kill until all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all all of them dead,1
die slow you bitch ass wiggers,0
gop should kill theirselves,1
obama hell is waiting for you may you burn well with your muslim brotherhood,1
somebody shoot him please,0
you can die with the rest of those stupid motherfuckers for all i care,1
ill be burning korans to keep warm when obama causes the economy to collapse,1
i hope obama dies of of cancer for supporting a pedophile and rapist and a murderer i will try to get rid of many muslims from our democratic and civilised countries back to the stone age rd world countries that they illegaly moved in too,1
u have ur rights we have our rights if u burn ours we will burn urs,1
we dont owe them a damn thing but a good old fashioned bombing,1
go die the slave of satan,1
u will suffer after u dying,0
you bastardi hope you and your entire family burn in hell along with the filthy,0
convert or be beheaded or crucified andor limbs cut off sura,1
only after we kill retards like you,0
so what you fuckin racist people i hope you die and rat in hell,1
its videos like these that make me wish that russia and china do bomb our asses,1
whatever the scene isfind something to door go die in a hole,1
you can die on your deathbed a mushrik you can die in your false beliefs,0
obama needs to be executed and all muslims need to be put out of the united states they are a danger to themselves and all who come in contact with them,0
go kill yourself jackass,0
obama must conquer the moderate muslims,1
i really wish the us would have a nuclear strike on mecca,1
no more paper to make it rainwe will tradeif u get greedyyou get executedyes i said executedyou give an inchthey take a foothmmmmm,2
but dont worry people are waking up and we gonna kill you,1
so first we convert people by means of silly miracle tricks and when the truth is clear and they speak up we kill them,1
leave it now while you can or burn in hell,1
i wish i believed hell existed because you deserve to burn there forever,1
i burnt a quran yesterday,1
die yourself you stupid rabid dog die just like mohammed died poisoned by a jewish woman one of many who despised his violent jizzzzlam nonsense,0
the kill them all is the true word,1
you are still and insurgent and insurgents need to be burned out,1
if some one start some shit like that ill cut all their nut off and execute them all cartel style bahaha,1
this solution to the race problem is genocide,1
you want a war you fuckin kikewe would make the holocaust look like fuckin disneyland,1
you will burn in hell,0
just as you white pigs treid to murder the jewish people so now will you die by our will,1
noneuropeans caught committing crime are immediately deported,2
let the majority decide everything and preferable let us kill all the minorities and all the people who have a different way of thinking and seeing the world than the majority,1
please any one wants to pick up the debate il crush you unless you are not open minded,0
they should all be deported,2
no but saying things like fucking towelhead sand niggers are fucking rats and deserve to die is racist,1
die u blind bald jew faggot,0
thats why its okay to hit rape and kill white people as much as you want,1
if you want to torture an cow or pig in a factory farm and force your immorality on them then you should die for your stupid cause,0
kill all the conservative procapitalist procorporate godbelieving religiontards scientologists islamofascists xtiantards,1
hi im a muslim i will not integrate in to your countrys culture if you draw a picture of my prophet i will kill you,0
i also hate all westerners and would happily kill you for allah,1
eat shit and die you piece of trash,0
we should invade their countries kill their leaders and convert them to christianity ann coulter,1
deport them and watch how beautiful scandi countries become cleansafe and peaceful countries again,2
also whats that about just minutes of some assholes screaming bullshit dont need to be blocked lol its just show how stupid they are about their relligion like with the muhamad in familly guy lol zzz you guys shud think about it you came to other coutry and yoou act like your the kings i dont like stereotypes but get a bomb and killurself then,1
death to the eu mafia and the ones who promote the destruction of my land and my people we will kick you all out and take what is ours,1
death to eu mafia,1
where is breivik when we need him most,2
fucking sandniggers burn in helll,1
jizzlam should be exterminated,1
kill the muslims animals now,1
shoot the cockroaches,1
this films show breivik is an hero,1
freedom for commander breivik,2
go fucking die faggot,0
i agree with them and encourage them to deport all nonwhites from europe after that happens whites will just exterminate themselves and start killing each other off just as in the past,1
i agree with them and encourage them to deport all nonwhites from europe after that happens whites will just exterminate themselves and start killing each other off just as in the past,1
these racist white fuck ass motherfuckers can go burn,1
huh i dont think have seen a person so stupid like you im trying to explane to you but you wont lisent look at my name and btw i hate anti white people and i hate jews they can all die i dont care about those fuck tarts oh boy how can you be so stupid,1
lets all join hands to kill this cancer called islam,1
why dont we just nuke these animals back to the stone age where there ideology comes from,1
as for the rest we should have nuked iraq and afghanistan,1
multikulti must end now and deportations must begein,2
i wish america would just declare war on islam,1
i have the freedom to kill every blackmuslim scum whenever i want to,1
i dont demand tolerance and if my kinfolk were awake we would quickly murder all the invaders just as any other nation would,1
stop this backward cult deport them now,2
what we need to have happen as soon as possible is a thorough program of ethnic cleansing of europe to get rid of all of the muslims once and for all before its too late,1
kill all people with mental and physical disabilities,1
do us a favour son put a gun in your mouth and pull the trigger,0
if it was me i would have just nuked mecca on sept th,1
i would have given saudis hours to leave and then nuked it,1
i think people that think islam belongs in our countries are either a pedophile or so ignorant that they should be deported to the middle east,2
if i were running things all muslims would be deported to somalia all mosques would be razed tomorrow and islam would be banned as an intolerant violent dangerous political party,1
fuck islam kill tand beat these muslim walking human shit,1
just die please will you,0
what are we to make of one muslims the only reason you really hate islam is because you know we will kill you even if it means our own death several years ago,1
please produce more anders breiviks please,1
deport mslims from europe,2
god dam stinky muslims burn the lot the fucking lot,1
death to islam and its evil mindless flock,1
i dont hate muslims i have muslim friends but when i see radical islamist motherfuckers who want to kill the pope or opress copts or kill other nonmuslims in their countries it makes me wanna go inside a mosque during friday ramadan service with an ak and just fucking massacre all fucking muslims there i dont care if they are men women and children,1
its time to bring out the nukes,1
lets just kill all the muslims,1
please kill yourself,0
yyayaaa h h for stalin we are the atheist of the world we will kill your religion out of humanitarianism,1
now lets go mutilate some starving africans and bath in thier blood,1
if i ever see u in the street ill fucking beat the shit out of u old cunt,1
if i ever see u in the street ill fucking beat the shit out of u old cunt,1
there can be no peaceful coexistence with islam they have to die,1
send every muslim in the country an invite and in the dead of night evacuate the residents of fthe island then just as the suns rising and theyre getting ready for yet another prayer nuke the place,1
in russia immigrants get murdered for not being white i believe western europeans could learn a lot from the russians,1
ultimately its up to the white man to decide their own fate fight or die,1
some people just have to be killed to be stopped of their evil ways,1
you should be killed,0
and i have the right to blow up and kill meateaters,1
anyone see the dispatches documentary on channel uk today of muslim faith schools beating the kids and teaching the kids that jews are pigs and unbelievers should be converted by force or killed,1
well thats all a hillbilly would know nokill at will shoot on site forget reason lets kill a fuckin nigger tonight,1
barbarians like you need to be wiped out for good,1
go choke and die on a chode,1
a good reason to wipe out islam,1
fuck yes kill all nonwhites send those savage sandniggers back to their shithole,1
kill islam now,1
commenter we all know that u r just mad cuz u r old and ur dick doesnt work properly so move your video vlogg section and please go find a hole and die,0
i am going to alledge your family are terrorists can i kill your family now or would you like some evidence st,1
kill islam now,1
kill islam wherever you find it,1
i blow u up,0
i will kill you,0
islam should be teat like the cancer it iseradicate itnow,1
kill em all,1
can we please just kill off the muslim plague,1
there needs to be a movement in europe where people actively hunt down and kill these sick fucks,1
mass muslim deportation is just around the corner,2
i am looking forward to all mosques being burnt to the ground the koran banned as the hate literature it is the mass muslim deportation of those who refuse to denounce islam,1
kill those who resist,1
if i come over to britain i could organize a dozen men to see to it that all mosques were burnt to the ground within a hr,1
muslim die a slow and painful death,1
goddamn just nuke middle east already,1
not with explosives or shrapnels but with pig carcasses and bacon,1
fucking religions are making people act very selfish and it makes treat other human being like fucking garbage just because they want more money and more power one more time this are not religions this fucking cults are a the ignorant brain washi wish to see islamic world die follow by christianity and all its branch too,1
all religion must die deaths quicker than the animals they slaughter,1
all faggots like you go and die cause your faggots whos with me,0
put them all on an island and nuke the bastards,1
oh and death to religionalmost forgot,1
deport them all,2
then we kill them,1
racist to attack a religionwhy dont you eat shit and die you ignorant child you didnt listen,0
death to islam,1
death to religion,1
deport this shifty eyed midget she joo to madagascar now,1
i will shut the fuck up after i have punched a hole in the back of your mothers vagina with the head of my massive greek caucasian cock,0
die from canceryour mom is filthy whore,0
fuck that jew bicth europe will not survive europe has been fine with out you jewdogs and if you come to france il fucking murder you zionist rat,0
i declare war on your jews species,1
death to the bolshevists,0
as far as i can see the only good that may come of this is that whites will set aside their differences and embrace each other as brothers and sisters then together exterminate our common enemy,1
bull it is boiling to the point of exploding you liberals dont see it coming we are pissed armed and ready leave us alone or youll be sorry,1
go kill yourself,0
chop her fucking jew head off,0
jews are the devil and must be exterminated,1
go kill yourself and stop wasting our oxygen,0
israel should be nuked,1
filthy zionist witch should burn in hell,0
the jews will be exterminated for all the hate and shit they have done to us for so long and they have only them self to blame for this,1
say to these imposter khazars hitler didnt kill enough of you bastards,1
if there are million antisemites we will gladly kill million people,1
shoot to kill jews on site all over europe,1
shoot to kill,1
even jesus christ himself says the jews are going to hell right in the holy bible burn in hell forever you jewish freaks your time is coming soon first hitler now comes christ hope you like it hot,1
free anders breivik and let him kill this nazijew cunt,1
burn in hell forever jews where you belong,1
just wait you jews till you diegod will burn your evil kind in hell,1
hopefully ww will see the end of zionist talmudic state of israhell,1
hitler should had kill all the jewish people,1
fuck off outta europe we dont want that shit and my people will wake up and destroy your shithole israel for killing innocent palestinians,1
saab go kill yourself with a bomb in the desert,0
kill this jew cunt kill this jew cunt with all means this jew cunt does not have a right to live any longer,0
kill all zionist pigs,1
fuck them burn them all this time make sure they are still alive when you put them into the ovens,1
why dont you just go die,0
we see come we bomb we rebuild we educate we move on to the next ghetto to expand our domainsoon we will dominate the world and every knee will bow down to us or die,1
she is a traitor and foreign agent execute her for treason,1
we nuke you,1
i like jews but people like her should fucking die seriously we dont need non white muslims destroying european countries we dont need somalia men assaulting white woman or any woman,1
now crawl your cannabalistic meat gnawing scavenging back in the water and die like you were never born you meat eating bunch of liers,1
kill yourself you waste of flesh all you do is leech from society never producing,0
is there a more beautiful spectacle than a burning synagogue,1
ridiculouswe dont need those immigrants into europe they dont add to anything i like jews but this woman should just die let her live in a neighborhood run over my morrocans and other non white creeps who makes my mother in her s run home when she walks the dogand they call her whore and run after her wanting to beat her up or push her over,1
i with all my heart and soul wish death upon anyone close to you anyone you ever loved and wish you would die the most torturous way possible,1
lets kill her,0
god let someone nuke israel then end thier racist run on humanity once and for all,1
rape and kill the creator of this video and all who agree with him,1
you will burn in hell evil bitch,0
ugly rat faced kike you should be exterminated,0
kill that jewish bitch,0
deportation is the answer,2
yeah i hope israel will get nuked too,1
when iran sinks tel aviv with a nuclear bomb the occasion will call for french champagne lobster pate de foie gras et truffe and caviar,1
this whore needs to be dismembered,0
kill it with fire,0
extermination of the jews is what should start happening,0
i feel like grabbing a sword and butchering that cunt when i see her,0
and once the muslims take over then we can drop a bomb on them,1
i want the right to deport blacks just like jews,1
you will be more than resented bitch they are commiting a genocide against our race we must to deport the jews,0
someone burn this kike,0
if i got my hands on that filthy jew id rip her filthy heart out and burn her jewish face with acid,0
your social jungle in greece will be wiped out and finally the jews of europe and the world will be exterminated,1
we will destroy the parasite and split their gold,2
i will rape and kill your children and smitten your seed from my planet,0
you will be more than resented my dear jew as a direct result of this disgusting attempt at genocide against our white race the jews will once more be deported from europe,0
this jew deserves to be in an oven burned alive,0
yu need to have your mouth shut with a nuke on teheran coming soon,1
jews own progressive insurance commercials to make whites look stupid like benson like hoppy on sanford and son like porntime to burn them up again,1
this bitch seriously needs to be executed in russian,0
gut the nigger,1
burn its family,1
this fucking whore must diefucking bitch,0
death to her and the zionist pigs,0
by destroying evil we are doing gods work soooo as i said befor death to her and the zionist pigs,1
shoot that bitch,0
burn in hell kike,0
deport these chosen bastards to that shithole they call their promised land before we are destroyed,2
lets kill this bitch,0
someone kill this rat,0
this women needs to die,0
lol fucken jewsno wonder hitler wanted to kill them all,1
kill all the zionists kill all the jews heat up those ovens theres no time to lose,1
i hope iran shoots down all your american built and armed planes and then nukes tel aviv,1
i hope the russian nazis decapitate her instead,0
bomb em all,1
let us all work as one to eradicate this common enemy of mankind,1
please someone fucking kill the bitch,0
commenter kill the little catholic year old pussys that chose to hate on a group of million people that they dont even know because of a stereotype that they dont even know if its true but they believe it because they dont know anything now fool,1
man go go kill yourself for what u just said,0
u jews need extermination you have no souls,1
nuke israel and make it a parking lot,1
the jews should all be executed and processed into pig feed,1
this inhuman race of beings must be eradicated from the world,1
i hope the muslims kill every last one of you filthy motherfuckers,1
i would like to kill that stupid fucking brown jew,0
kill this fucking jewjews are troyan horse in the european countriesthey are ratshitler was right,0
death to israhell and jews,1
kill yourself you lying piece of shit,0
kill yourself you uneducated and hypocritical waste of a human lifeform,0
kill youself wow what a dumb cunt of a loser father,0
educate yourself and do some geography and history or kill yourself you worthless bastard,1
kill yourself you filthy descendants of racemixing immigrants,1
if you are man enough tell me where you live and i might just come knocking down your doori could make a fag out of you before killing you,0
kill your self immediatly,0
kill the muslims,1
fucking deport them,2
thel be deported and honestly i cant wait,2
no send them to the chamber infact just kill everyone and let the robots rule,1
go kill yourself,0
deport nongermans now,2
thumbs up if you want to see her slaughtered,0
but the extremists must be deported from the eu they do nothing but cause civil unrest and erode our freedoms see blasphemy laws,1
europe needs to start deporting noneuropeans why are only white countries supposed to be multicultural this is the plan of the zionists to get rid of all gentiles,1
stupid bich die,0
commenter i will repeat what kazzy said to your face where and when its about time islam was sorted out we need to eradicate the lot unless they conform to our ways and our beliefs and our governance,1
we must kill off the white liberals if we are to maintain our identity in western countries,1
eat shit and die monkey president supporter death to the third world immigrant sympathizers death to the monkey president supporters allah hu akbar alalalalalalala,1
need to deport the jews and muslims,1
die you fucking moslem bastardjews are coolbut muslims are the shit of planet earth,1
the fucking middle east and africa should have been nuked in the s,1
